time/episodes,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,eval/mean_ep_length,eval/mean_reward,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/n_updates,train/critic_loss
4,4826,8000,500.0,-12150.020188062499,1,,,,,,,,
8,4822,8000,500.0,-12150.020188062499,1,,,,,,,,
12,4817,8000,500.0,-12150.020188062499,1,,,,,,,,
16,4815,8000,500.0,-12150.020188062499,1,,,,,,,,
,,10000,,,,500.0,-3642.3877053999995,,,,,,
20,2077,16000,500.0,-12345.18271003125,7,,,,,,,,
24,2077,16000,500.0,-12345.18271003125,7,,,,,,,,
28,2077,16000,500.0,-12345.18271003125,7,,,,,,,,
32,2077,16000,500.0,-12345.18271003125,7,,,,,,,,
,,20000,,,,500.0,-3535.5447322,,,,,,
36,1309,24000,500.0,-10957.337075624999,18,,,1924.127670288086,1.0221365317702293,0.0030178585948306136,0.0003,80864,1042.598819732666
40,1309,24000,500.0,-10957.337075624999,18,,,,,,,,
44,1309,24000,500.0,-10957.337075624999,18,,,,,,,,
48,1309,24000,500.0,-10957.337075624999,18,,,,,,,,
,,30000,,,,500.0,-3345.3857218,1736.1155090332031,0.9844372346997261,-0.0007964801634443575,0.0003,81248,864.3918228149414
52,1006,32000,500.0,-9159.94315775,31,,,1682.5371398925781,0.9738480448722839,-0.002373442468524445,0.0003,81360,821.2605743408203
56,1006,32000,500.0,-9159.94315775,31,,,,,,,,
60,1006,32000,500.0,-9159.94315775,31,,,,,,,,
64,1006,32000,500.0,-9159.94315775,31,,,,,,,,
,,40000,,,,500.0,-3498.0629476000004,1543.1658096313477,0.9497966952621937,0.0005100919552205596,0.0003,81872,654.5250854492188
68,881,40000,500.0,-8111.936935025,45,,,,,,,,
72,881,40000,500.0,-8111.936935025,45,,,,,,,,
76,881,40000,500.0,-8111.936935025,45,,,,,,,,
80,881,40000,500.0,-8111.936935025,45,,,,,,,,
84,876,48000,500.0,-7420.470032229166,54,,,1442.673973083496,0.9786304943263531,-0.0007646955309610348,0.0003,82368,623.5560283660889
88,876,48000,500.0,-7420.470032229166,54,,,,,,,,
92,876,48000,500.0,-7420.470032229166,54,,,,,,,,
96,876,48000,500.0,-7420.470032229166,54,,,,,,,,
,,50000,,,,500.0,-3503.9947211999997,1429.5002822875977,0.9908963777124882,0.00041291959223599406,0.0003,82496,635.2109603881836
100,807,56000,500.0,-6366.34418969,69,,,1376.6732177734375,1.0115313082933426,-0.00011664290309454373,0.0003,82864,669.8418083190918
104,807,56000,500.0,-6366.34418969,69,,,,,,,,
108,807,56000,500.0,-6366.34418969,69,,,,,,,,
112,807,56000,500.0,-6366.34418969,69,,,,,,,,
,,60000,,,,500.0,-3298.1781534,1352.1785354614258,1.0537997782230377,-0.012295169792196248,0.0003,83120,633.2900924682617
116,751,64000,500.0,-5006.500620520001,85,,,1325.3949279785156,1.0759020820260048,-0.012581296410644427,0.0003,83360,719.4767303466797
120,751,64000,500.0,-5006.500620520001,85,,,,,,,,
124,751,64000,500.0,-5006.500620520001,85,,,,,,,,
128,751,64000,500.0,-5006.500620520001,85,,,,,,,,
,,70000,,,,500.0,-3833.1401978000004,1288.0825424194336,1.1169863939285278,0.000785388401709497,0.0003,83744,750.4965667724609
132,681,72000,500.0,-4200.66485286,105,,,1275.1148681640625,1.1244013905525208,0.014719032420543954,0.0003,83872,725.4253730773926
136,681,72000,500.0,-4200.66485286,105,,,,,,,,
